GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "42007","Beaver, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",208191,208511,208841,209953,208993,206274,208086,208300,206225,205569,204660,204001,201832,201308,199089,195760,192077,188667,186644,185406,185703,186271,187064,187917,188483,187990,187479,186663,185610,184315,182592,181054,179391,178277,177523,176395,174820,173259,172161,171336,170524,170630,170310,170056,169726,168977,168241,166758,165654,164582,163929
 "42007","Beaver, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3517,3624,3786,4140,4658,5487,6074,6636,7452,8341,9373,10208,11538,11430,11098,11732,12099,12613,13136,13822,14908,15894,16644,17492,18154,18888,19611,20642,21830,22555,23822,25171,26746,26992,27583,29214,30596,32638,34418,35778,35599,36984,38856,40150,40544,41967,43580,44478,46010,48805,50600
 "42009","Bedford, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",121483,130531,143162,154453,172387,188325,206678,230424,253817,283454,319209,349528,382867,407003,427698,450760,467654,490737,517739,550965,596207,622685,654786,711266,751234,792466,820008,888947,939842,991410,1050959,1097272,1148539,1171909,1208725,1229263,1238429,1324154,1434227,1520337,1508723,1589544,1680794,1714045,1711473,1754748,1849528,1864957,1954281,2017863,2079566
 "42009","Bedford, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",42350,42449,43273,43576,44264,44773,44946,44934,45501,45697,46888,46875,47142,47381,47686,47391,47044,47186,47068,47613,47642,48015,48279,48533,48850,49052,49183,49304,49363,49559,49853,49928,49778,49742,49812,49829,49691,49871,49889,50052,49889,49699,49627,49592,49318,49131,48748,48601,48356,48094,47888
 "42009","Bedford, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2869,3075,3308,3544,3895,4206,4598,5128,5578,6203,6808,7457,8122,8590,8969,9512,9941,10400,11000,11572,12514,12969,13563,14655,15378,16156,16673,18030,19039,20005,21081,21977,23073,23560,24266,24670,24923,26552,28748,30375,30242,31983,33869,34563,34703,35716,37941,38373,40414,41957,43426
 "42011","Berks, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1169851,1252791,1332288,1478467,1645877,1811050,1956345,2169731,2415498,2698350,3024076,3366073,3729154,3980903,4282832,4670276,4903232,5151473,5468098,5915967,6538477,6746828,6993289,7504851,7861371,8243934,8607203,9043801,9458239,9904352,10332849,11072945,11534506,11863203,12227581,12670894,13344214,14258960,14915827,15360917,14965095,15696057,16498351,17212314,17011482,17863904,18724168,19185253,19885496,20790624,21605098
 "42011","Berks, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",294336,296772,299474,300891,305011,305720,306891,308452,306642,309110,312055,313016,314414,314597,315184,317711,318105,320394,323871,327977,333938,337812,342637,346050,350186,354092,357193,360380,363739,367082,370942,374546,377487,381338,385846,390848,395933,401834,405223,407737,409904,412039,413008,413518,413915,414559,415138,415784,417511,420529,421164
 "42011","Berks, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3975,4221,4449,4914,5396,5924,6375,7034,7877,8729,9691,10754,11861,12654,13588,14700,15414,16079,16884,18038,19580,19972,20410,21687,22449,23282,24097,25095,26003,26981,27856,29564,30556,31109,31690,32419,33703,35485,36809,37674,36509,38094,39947,41624,41099,43091,45103,46142,47629,49439,51299
 "42013","Blair, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",431016,470275,499206,535727,589763,647183,713117,795308,877132,965705,1066392,1139914,1230999,1283897,1331897,1414118,1511644,1597220,1658933,1743086,1888384,1999299,2092950,2237068,2350285,2456062,2549386,2689142,2832129,2974443,3086529,3216044,3255632,3347166,3473739,3645718,3780067,3905991,4093100,4240852,4288406,4439095,4684022,4808282,4794185,4998509,5236887,5312333,5459082,5701223,5881562
 "42013","Blair, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",135488,135538,136999,137687,136556,136956,136611,136023,137015,137705,137966,136443,135457,135600,134397,132925,132253,131556,131712,131408,130546,130593,131160,131270,131661,132124,131802,131080,130931,130509,129757,128981,128471,127631,127353,127194,126730,127002,127048,127112,127161,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829
