GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "05007","Benton, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2670,2893,3139,3521,4124,4373,5065,5550,5927,6675,7247,8130,9384,9949,10857,11975,12777,13876,14085,15208,16212,17040,18066,19691,20400,21751,23087,24464,26002,28373,29632,31361,33459,34328,35721,38783,42067,46046,49569,52536,47521,48798,56328,66861,64245,74325,79064,82906,84181,92342,92697
 "05009","Boone, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",51205,57237,64754,76654,89177,100854,107752,123488,138863,157580,177064,194328,217095,234337,251270,279308,300259,316371,338169,363618,398063,411795,433664,465056,503518,528277,557129,576759,613356,662114,694127,723097,728053,757744,780491,830179,876828,936454,997942,1017240,1008660,1038366,1082676,1138870,1138534,1196936,1229785,1242651,1278479,1331940,1363049
 "05009","Boone, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",18834,19110,19256,20174,20984,21635,22771,23039,23652,24267,25395,26119,26271,26456,26915,27373,27563,27701,27891,28123,28269,28360,28788,29534,30384,31310,32031,32643,32946,33210,33436,34051,34258,34448,34554,34900,35492,36056,36759,36974,36844,36893,37086,37333,37328,37116,37119,37259,37459,37385,37432
 "05009","Boone, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2719,2995,3363,3800,4250,4662,4732,5360,5871,6494,6972,7440,8264,8858,9336,10204,10894,11421,12125,12930,14081,14520,15064,15746,16572,16872,17393,17669,18617,19937,20760,21236,21252,21997,22588,23787,24705,25972,27148,27512,27377,28145,29194,30506,30501,32249,33131,33352,34130,35628,36414
 "05011","Bradley, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",30930,33265,37789,42242,47491,52636,57970,64668,69981,80069,88666,96327,104243,109608,117991,125674,129674,131509,132602,143286,160192,166662,171681,183563,187521,195410,202325,213314,223024,229141,222430,229956,251486,252985,267207,286205,281684,286473,300802,294645,294427,321028,331834,354711,354475,375398,388456,394548,404535,421157,430310
 "05011","Bradley, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12933,12810,13082,13268,13292,13229,13277,13708,13757,13980,14036,13765,13583,13388,13184,13081,12882,12595,12287,12119,12012,11808,11863,11898,12101,12130,12248,12309,12331,12388,12518,12597,12427,12340,12263,12107,12012,11778,11737,11643,11538,11470,11432,11266,11120,11007,10999,10959,10813,10838,10763
 "05011","Bradley, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2392,2597,2889,3184,3573,3979,4366,4718,5087,5727,6317,6998,7675,8187,8950,9607,10066,10441,10792,11823,13336,14114,14472,15428,15496,16110,16519,17330,18086,18497,17769,18255,20237,20501,21790,23640,23450,24323,25629,25307,25518,27988,29027,31485,31877,34105,35317,36002,37412,38859,39980
 "05013","Calhoun, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",12530,12156,13011,14555,17210,19002,21184,25107,26221,30231,33086,36678,41056,46042,50808,56370,60885,62780,63672,66445,69778,71946,74215,79388,81664,83184,85049,87630,93853,101762,103837,109060,112999,117564,119166,122710,128447,129304,134436,136996,135561,138322,143080,149826,149479,155334,165688,169136,172665,177855,185177
 "05013","Calhoun, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5627,5561,5547,5540,5573,5676,5906,5723,5707,5830,6030,6073,6041,6113,6081,6088,6067,6012,6047,5962,5885,5821,5805,5764,5822,5811,5836,5754,5774,5751,5764,5709,5599,5655,5646,5591,5675,5693,5659,5528,5421,5362,5243,5278,5192,5167,5200,5143,5201,5227,5189
 "05013","Calhoun, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2227,2186,2346,2627,3088,3348,3587,4387,4595,5185,5487,6040,6796,7532,8355,9259,10035,10442,10530,11145,11857,12360,12785,13773,14027,14315,14573,15229,16254,17695,18015,19103,20182,20789,21106,21948,22634,22713,23756,24782,25007,25797,27290,28387,28790,30063,31863,32887,33198,34026,35686
