GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "89118","Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",992523,1058302,1114810,1213807,1362073,1506153,1655746,1833976,2051980,2275389,2587725,2853550,3115122,3302676,3540487,3922631,4186471,4455541,4727945,5028521,5478297,5841088,6123577,6696620,7002739,7505082,7950409,8403316,8803342,9376126,9912790,10636053,11186523,11547226,11881861,12438721,12889238,13629021,14253427,14748356,14412852,14880843,15844048,16450669,16567454,17396917,18196815,18759486,19445122,20295234,21008809
 "89118","Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",270626,277520,279552,280844,279519,279688,283921,282865,284914,285526,287629,291638,292020,292784,293632,296399,298887,301831,304849,309604,312280,316204,320302,324982,330346,334680,339381,343792,347575,351220,355296,359721,363839,367881,370790,373722,377376,381168,384405,387312,391061,393021,395041,397181,399261,400951,402392,403829,406205,407889,409881
 "89118","Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3668,3813,3988,4322,4873,5385,5832,6484,7202,7969,8997,9785,10667,11280,12058,13234,14007,14762,15509,16242,17543,18473,19118,20606,21198,22425,23426,24443,25328,26696,27900,29568,30746,31388,32045,33283,34155,35756,37079,38079,36856,37863,40107,41419,41495,43389,45222,46454,47870,49757,51256
 "89120","Asheville-Marion-Brevard, NC (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",859009,922909,1010771,1143486,1303968,1434085,1562186,1752088,1962184,2200252,2446164,2783045,3134716,3337939,3660583,4071948,4337127,4622350,4961432,5396628,5905029,6291758,6629055,7150355,7629838,8025963,8640416,9123606,9863411,10531561,10894034,11460683,11904277,12014667,12247650,13191856,13951151,15141480,16085445,16573205,16065155,16386893,17057378,18085970,18159590,19408014,20639941,21558725,22617373,23979562,25019451
 "89120","Asheville-Marion-Brevard, NC (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",294893,296693,302028,304899,310101,314696,319713,322413,326741,332350,337090,342399,345426,349018,349827,354038,357360,360066,361251,363809,366745,370819,377116,383827,391883,399599,407214,415125,422757,429991,436193,442296,447319,452738,458462,464520,470973,479984,488248,494768,499731,503525,505973,508779,513643,517620,522717,528569,533705,538952,542821
 "89120","Asheville-Marion-Brevard, NC (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2913,3111,3347,3750,4205,4557,4886,5434,6005,6620,7257,8128,9075,9564,10464,11501,12137,12838,13734,14834,16101,16967,17578,18629,19470,20085,21218,21978,23331,24493,24975,25912,26613,26538,26715,28399,29622,31546,32945,33497,32148,32544,33712,35548,35354,37495,39486,40787,42378,44493,46092
 "89122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8190208,8984935,9944355,11345703,12853745,14166835,15294660,16972296,19039572,21553349,24227800,27492988,31003538,33530571,37279210,42700226,47569226,52486180,57129436,62744433,67584307,72578349,75868339,82473582,88445929,95599023,104336677,113979060,122615996,136479105,147095858,161444649,170194678,174122889,179946992,190586974,203452127,219156411,229241881,227901959,221466333,225998046,242761129,251196394,255535422,276957383,294998590,309098956,328797748,349123113,362528227
 "89122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",2252179,2287070,2357910,2429464,2509943,2571189,2594863,2621008,2668187,2712642,2777355,2842640,2899937,2954655,3021156,3103696,3205317,3306017,3409363,3500331,3575675,3652968,3753537,3858484,3978961,4112634,4245234,4378726,4513720,4657695,4806857,4956908,5077150,5173860,5266566,5364714,5486061,5663412,5813850,5930371,6006355,6072152,6138897,6220472,6290742,6377941,6480729,6592510,6687694,6770187,6853392
 "89122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3637,3929,4217,4670,5121,5510,5894,6475,7136,7946,8723,9672,10691,11348,12339,13758,14841,15876,16757,17925,18901,19868,20212,21375,22228,23245,24577,26030,27165,29302,30601,32570,33522,33654,34168,35526,37085,38697,39430,38430,36872,37219,39545,40382,40621,43424,45519,46886,49165,51568,52898
 "89140","Bend-Prineville, OR (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",142070,162797,186819,219160,253783,285069,327538,386622,456948,544699,640700,693616,743789,761519,845174,941296,1012876,1075052,1139959,1271545,1424000,1599682,1761990,1933315,2116168,2258209,2439999,2665042,2850216,3117736,3328483,3646411,3960463,4103363,4357738,4691752,5221145,5954229,6286328,6505905,6023836,6090913,6496570,7002288,7468555,8078515,9073735,9838412,10723581,11661589,12198425
 "89140","Bend-Prineville, OR (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",39554,40967,43422,45605,49120,51725,53946,56427,59923,65758,71306,75465,76241,75977,75426,76994,78096,79302,80045,82238,85079,90311,95267,99500,103946,107730,112334,116589,120214,124947,130529,135828,140231,145026,149105,154399,161586,169822,174451,178631,178755,178626,180298,181966,185998,190468,195701,202972,209809,215730,222096
