GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "49005","Cache, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",41800,42438,43421,45536,46997,48205,49550,50752,52424,53792,55212,57773,60029,62017,63903,65077,65722,66312,67178,68412,69655,70460,72924,75794,78390,81134,84006,86326,88002,89866,90299,91861,92831,95493,97101,98854,100501,101236,103624,106824,110291,113386,114781,115895,117025,117894,119697,122201,124236,126400,128289
 "49005","Cache, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2574,2839,3116,3379,3681,3985,4362,4916,5300,5922,6618,7129,7636,7908,8442,9070,9663,10458,11236,11796,12675,13394,13847,14421,15093,15550,15995,16673,17692,18374,18917,19321,20600,20645,21667,23010,23284,24604,26226,28170,27594,28483,30259,31201,31040,32555,34577,35667,37662,40325,41811
 "49007","Carbon, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",46754,51660,56138,64778,74057,83184,102897,124336,142895,163493,194006,216252,252191,292789,260727,257819,268823,276578,277101,271071,283274,293933,297511,315186,325171,344395,363243,389039,421352,429675,436243,446761,459775,464647,470782,492693,532677,574045,599572,639532,637348,669338,718041,690409,686549,703039,718016,703848,725962,795297,832424
 "49007","Carbon, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",16100,15728,16064,16807,17165,17340,17943,18995,20070,21182,22063,22237,22421,23707,23859,23170,22339,22311,21885,21077,20546,20146,20151,20184,19979,20159,20296,20495,20655,20731,20574,20491,19937,20114,20146,20026,19870,20072,20554,20596,21143,21403,21305,21222,20903,20636,20391,20324,20131,20233,20463
 "49007","Carbon, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2904,3285,3495,3854,4314,4797,5735,6546,7120,7718,8793,9725,11248,12350,10928,11127,12034,12396,12662,12861,13787,14590,14764,15616,16276,17084,17897,18982,20400,20726,21204,21803,23061,23101,23369,24603,26808,28599,29171,31051,30145,31273,33703,32533,32845,34069,35212,34631,36062,39307,40679
 "49009","Daggett, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1962,1818,2545,2593,3002,3307,3376,3816,4345,5388,5883,6749,7525,6886,7093,6758,7068,7367,7557,8120,8451,9402,9999,11044,12666,12748,13025,13876,14103,14451,14646,14928,21570,23068,24269,24311,26302,26598,30837,33366,33764,33676,36033,38478,39794,39837,43236,41309,40949,41804,45365
 "49009","Daggett, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",600,673,655,629,711,721,736,750,761,704,760,777,811,854,800,760,734,690,708,682,694,699,743,744,751,791,817,861,859,849,877,926,929,907,914,952,967,984,974,993,1037,1077,1162,1095,1140,1124,1107,1076,1013,974,950
 "49009","Daggett, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3270,2701,3885,4122,4222,4587,4587,5088,5710,7653,7741,8686,9279,8063,8866,8892,9629,10677,10674,11906,12177,13451,13458,14844,16866,16116,15942,16116,16418,17021,16700,16121,23219,25433,26553,25537,27200,27030,31660,33601,32559,31268,31009,35140,34907,35442,39057,38391,40423,42920,47753
 "49011","Davis, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",319796,352646,412519,451024,495802,562769,628847,717549,814694,948511,1077228,1221179,1385505,1525170,1655606,1849187,2024849,2150364,2256502,2419525,2629858,2899731,3090831,3337900,3587248,3851161,4186655,4565558,5021339,5380171,5692217,6133474,6565583,6812665,7140337,7532062,8167206,9018435,9851688,10228918,9976043,10236095,11046520,11882557,12103425,12753079,13651237,14581987,15233658,16249437,17213443
 "49011","Davis, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",97000,99760,103665,105296,110035,112078,117173,120786,126880,133807,140324,147884,152924,158043,162239,165723,169887,174267,179746,181733,185236,188841,193773,199199,204936,210164,214622,219687,224871,230937,235912,240422,244687,249676,255582,262189,269208,278800,288236,295801,301965,307910,311852,315926,322228,328714,334597,341000,346658,351101,355481
 "49011","Davis, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3297,3535,3979,4283,4506,5021,5367,5941,6421,7089,7677,8258,9060,9650,10205,11158,11919,12339,12554,13314,14197,15355,15951,16757,17504,18325,19507,20782,22330,23297,24129,25511,26833,27286,27938,28728,30338,32347,34179,34580,33037,33244,35422,37612,37562,38797,40799,42762,43944,46281,48423
 "49013","Duchesne, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",18184,21156,24381,33745,42973,48088,51530,55453,64222,73571,83954,99327,120521,130651,137973,149821,144954,142060,141642,138830,145644,156292,166176,185531,198094,202821,208873,218638,240227,249725,253865,268194,326387,325509,332321,346875,383772,436252,501003,598943,556952,565859,651723,724617,767939,823076,741747,668489,707490,721352,755042
 "49013","Duchesne, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",7100,7414,7878,8687,11055,12100,12504,12947,12563,12814,12774,12660,13014,13836,14711,15157,15310,15083,14187,13425,12881,12608,12697,12959,13169,13474,13645,13801,14025,14218,14395,14449,14652,14969,15002,15101,15473,15823,16651,17412,18536,18647,18700,19000,19960,20199,20748,20242,19868,19943,19938
