GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "27013","Blue Earth, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",48415,52514,53353,53476,51414,52794,52091,51975,52019,51507,51769,52406,52656,52755,52725,52775,52899,52890,52860,53505,53616,54179,54439,54353,53891,54442,54958,55222,55036,55270,55698,55988,56808,57542,58554,59116,59918,61100,61974,62860,63565,64086,64359,64974,64737,65300,65673,66355,66916,67378,67653
 "27013","Blue Earth, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3403,3518,3680,3956,5084,5237,5703,5974,7099,7924,8389,8973,9878,10338,10757,12231,12627,12994,14273,14404,15685,16342,16558,17969,18522,20115,20956,22164,23076,25362,25897,26409,28726,29861,30709,31500,31883,33853,34243,34372,32497,33630,36747,38807,39104,41613,42415,42110,42949,45255,46793
 "27015","Brown, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",92959,105344,110060,119865,148931,159957,163153,159967,204755,222206,231777,255626,279239,296179,304089,351145,364164,375352,401021,389253,451145,465905,467668,500778,484308,542427,556450,621630,610765,650232,666848,700812,744101,763359,820604,843827,860237,898001,946219,1025431,965311,1005632,1108168,1174191,1137693,1187706,1234308,1253663,1292298,1356491,1398044
 "27015","Brown, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",28277,29017,29357,29569,29365,29109,29100,28650,29038,28949,28767,28654,28625,28645,28628,28463,28111,27661,27425,27425,27103,26975,26967,27089,27234,27161,27131,27359,27282,27107,27040,26877,26932,26905,26754,26666,26260,26252,26130,25992,25890,25843,25658,25412,25267,25272,25240,25272,25172,25125,25008
 "27015","Brown, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3287,3630,3749,4054,5072,5495,5607,5583,7051,7676,8057,8921,9755,10340,10622,12337,12955,13570,14622,14193,16646,17272,17342,18486,17783,19971,20510,22721,22387,23988,24662,26075,27629,28372,30672,31644,32758,34207,36212,39452,37285,38913,43190,46206,45027,46997,48903,49607,51339,53990,55904
 "27017","Carlton, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",82816,88767,94366,105681,119076,129692,146282,165047,178689,203611,223331,247088,272898,284986,299606,320072,335270,351807,357495,375192,402689,423026,448427,483508,505533,538416,563385,600567,638119,685159,729067,777563,810061,851644,880547,907788,923409,975562,1049298,1115803,1128756,1165408,1208476,1213771,1260555,1323357,1376626,1410499,1462303,1532854,1592350
 "27017","Carlton, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",29466,28165,28540,28794,28513,28287,28474,28840,29251,29893,30445,29936,29871,29796,29797,29632,29385,28907,28858,28849,29054,29321,29472,29656,29986,30330,30326,30626,30819,31287,31558,31784,32110,32740,33343,33950,34367,34538,34596,34986,35269,35416,35445,35272,35275,35365,35409,35555,35509,35822,35871
 "27017","Carlton, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2811,3152,3306,3670,4176,4585,5137,5723,6109,6811,7336,8254,9136,9565,10055,10802,11410,12170,12388,13005,13860,14427,15215,16304,16859,17752,18578,19610,20705,21899,23102,24464,25228,26012,26409,26739,26869,28246,30330,31893,32004,32906,34094,34412,35735,37420,38878,39671,41181,42791,44391
 "27019","Carver, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",107726,117318,125687,141503,164470,186056,200586,212691,252957,290401,347730,397957,447264,480419,510090,590149,651758,705119,777791,841041,962816,1045200,1118294,1235975,1358555,1496265,1661492,1839752,2012041,2262261,2456317,2779003,2957407,3004746,3098175,3387197,3725345,4023668,4482463,4749310,4475460,4704331,5126799,5520198,5641039,6074179,6377854,6581420,6984354,7378582,7655911
 "27019","Carver, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",27229,28472,29113,31002,32478,32780,34011,34425,35339,36210,36821,37246,37960,38516,38799,39342,40208,41263,42741,44715,46304,48409,50251,52089,54436,56936,59644,62197,63939,65838,68181,70843,72945,75393,78005,80473,83258,85657,87270,88812,90242,91401,92817,93863,95610,97356,98630,100374,102118,103533,105089
